Industry,R&D Institutions (unit),Full-time Equivalent of R&D Personnel (man-year),Expenditure on R&D (10,000 yuan),R&D Projects (unit),Number of Projects on New Products Development (unit),Expenditure on New Products Development (10,000 yuan),Sales Revenue of New Products (10,000 yuan),Export (10,000 yuan),Patent Applications (piece),Invention Applications (piece),Effective Inventions (piece)
Total,25821,1397796,69602196,140650,281742,90228012,858901500,277967894,444950,237589,892210
Manufacture of Medicines,4745,191292,10963162,31730,62793,13293840,89334805,9001593,34308,17766,81600
Manufacture of Chemical Medicine,1699,86015,5017268,14654,27703,5920978,45870568,6105765,12425,7499,33435
Manufacture of Finished Traditional Chinese Herbal Medicine,809,32177,1204168,5475,10356,1419257,19020247,151053,5165,2433,15729
Manufacture of Biopharmaceutical Products,622,35347,3576026,5180,10738,4393163,10937908,861515,6389,4178,15575
Manufacture of Electronic Equipment and Communication Equipment,14376,898893,46453804,71314,138673,62171007,637578743,218867798,305356,174373,653879
"Manufacture of Special Equipment for Electronic Industry",1057,42148,1705134,5011,11004,2516910,17145842,1451143,21119,8136,24251
"Manufacture of Optical Fiber and Cable, and Lithium Ion Battery",1144,75931,4378300,5796,9999,5494344,76302674,13242783,40746,20026,27483
"Manufacture of Lithium Ion Batteries",920,69273,3953940,4728,8275,5024803,69184025,12757252,38332,18783,23035
"Manufacture of Communication Equipment, Radar and Matching Equipment",1446,250009,16175596,8314,15255,21884673,198339997,91575072,77323,63947,315481
"Manufacture of Communication System Equipment",711,71932,3589472,4137,7963,5673924,40310749,12612881,22133,16640,101818
"Manufacture of Communication Terminal Equipment",655,172284,12326579,3463,6095,16068256,157508838,78951678,53913,46616,211825
"Manufacture of Radar and Related Equipment",80,5793,259544,714,1197,142493,520409,10514,1277,691,1838
"Manufacture of Broadcasting and TV Equipment",304,15281,477559,1368,2899,653064,6829740,1965923,5613,2338,7584
"Manufacture of Non-professional Audio-visual Equipment",587,31154,1228124,2418,5050,1610029,29202799,11833205,8622,3666,16458
Manufacture of Electronic Appliances,3253,194906,11232092,17538,34727,15119171,117495997,38007515,70068,43458,155861
"Manufacture of Electronic Vacuum Appliances",194,5347,200244,695,1456,220186,2920455,318700,5490,4119,8607
"Manufacture of Semiconductor Discreting Appliances",275,11149,458732,1318,2493,643716,4856484,639653,3366,1535,4161
"Manufacture of Integrated Circuit",759,63329,5707060,5217,10575,8046966,41063766,8636055,22841,17073,54679
"Manufacture of Optoelectronic Devices",599,24917,1150415,2902,5777,1462238,11565732,3722880,11039,5362,17924
"Manufacture of Electronic Components and Electronic Specialized Materials",4917,207164,8057518,23462,43502,10235249,136951485,36003531,50951,21078,74442
"Manufacture of Resistance, Capacitance and Inductance Components",609,20420,599358,2585,4945,758513,8227742,2734938,5206,1590,6506
"Manufacture of Electronic Circuit",987,52696,1458610,4473,8349,2006248,26133099,12028448,8096,2999,10681
"Manufacture of Electronic Specialized Materials",1425,50555,3568374,7776,12917,4217868,61446499,5044022,16986,9157,25603
Manufacturing of Intelligent Consumption Equipment,912,52685,1990075,4316,9209,2982609,42128105,22089684,18963,7692,18954
Other Electronic Equipment,756,29615,1209406,3091,7028,1674957,13182104,2698941,11951,4032,13365
Manufacture of Computers and Office Equipments,1555,97368,3566177,7926,16120,4892703,74255405,41849710,25541,12704,49735
"Manufacture of Entire Computer",182,23136,1225445,1392,2737,1650460,47109670,31787160,7700,5249,19271
"Manufacture of Parts and Fixture for Computer",460,22866,648505,2164,3869,864351,10220281,4504513,5202,2110,7432
"Manufacture of Computer Peripheral Equipment",455,19452,560078,1968,4343,957187,8864452,3474008,6497,2336,9996
"Manufacture of Office Equipment",141,6257,173848,522,1186,238548,1786825,693174,1591,750,3919
"Manufacture of Medical Equipments and Meters",4834,170193,5851919,25209,56468,8839768,52672900,7742840,74901,30697,99831
"Manufacture of Medical Equipment and Appliances",1575,57698,2355837,8878,21774,3799975,16236015,3363664,30862,13223,41540
"Manufacture of Medical Diagnosis, Monitoring and Treatment Equipment",527,25978,1137739,3354,8380,1947929,7476482,1834283,14391,7297,20187
"Manufacture of Medical, Surgical and Veterinary Instruments",389,13511,465123,2122,5063,720916,4560331,698413,5730,2062,8372
"Manufacture of General Measuring Instruments and Machinery",2221,73500,2257063,11069,23576,3389156,27013135,2915316,30348,12077,39980
"Manufacture of Special Measuring Instruments and Machinery",626,22494,688580,3233,6994,1009264,6074336,824208,8178,3063,10580
"Manufacture of Information Chemicals",96,2547,117503,397,673,145192,2305182,179152,794,388,1347
