period,quarter,year,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2024-Q4,4,2024,11.7,1.6,0.148,0.016,1692,12303,0.035,0.246,0.019,0.829,0.042,0.107,0.167,0.354,0.1,0.013,9.3,0.515,0.379,0.662,0.643,1.244,0.532,0.012,0.382,8.3,0.01,0.036,0.165
2024-Q3,3,2024,10.2,1.4,0.152,0.018,1671,11872,0.038,0.12,0.019,0.808,0.047,0.117,0.172,0.355,0.1,0.022,8.5,0.514,0.318,0.713,0.682,1.282,0.556,0.013,0.325,7.5,0.012,0.031,0.166
2024-Q2,2,2024,11.2,1.6,0.154,0.018,1635,11517,0.034,0.17,0.019,0.767,0.05,0.117,0.176,0.287,0.1,0.156,8.6,0.569,0.418,0.701,0.663,1.244,0.564,0.013,0.333,7.6,0.009,0.038,0.149
2024-Q1,1,2024,13.8,1.8,0.137,0.016,1414,11095,0.03,0.26,0.02,0.85,0.055,0.116,0.174,0.337,0.1,0.095,8.6,0.529,0.444,0.707,0.667,1.174,0.602,0.013,0.328,7.6,0.005,0.042,0.138
2023-Q4,4,2023,16.3,2.0,0.13,0.015,1292,10649,0.03,0.22,0.019,0.855,0.059,0.114,0.169,0.366,0.1,0.097,8.8,0.504,0.409,0.716,0.675,1.241,0.577,0.013,0.319,7.8,0.004,0.058,0.168
2023-Q3,3,2023,18.7,2.2,0.126,0.014,1178,10062,0.03,0.308,0.019,0.983,0.059,0.115,0.17,0.373,0.1,-0.017,8.7,0.5,0.383,0.727,0.679,1.198,0.607,0.013,0.306,7.7,0.002,0.033,0.126
2023-Q2,2,2023,19.9,2.4,0.133,0.014,1198,9744,0.031,0.228,0.017,0.987,0.054,0.113,0.171,0.437,0.1,-0.116,8.8,0.449,0.386,0.707,0.66,1.314,0.538,0.011,0.326,7.8,0.003,0.023,0.103
2023-Q1,1,2023,17.0,2.4,0.155,0.016,1356,9520,0.032,0.207,0.016,1.051,0.046,0.11,0.17,0.367,0.1,-0.051,9.1,0.505,0.377,0.692,0.65,1.353,0.512,0.01,0.341,8.1,0.004,0.029,0.092
2022-Q4,4,2022,16.8,2.6,0.181,0.018,1429,9252,0.033,0.184,0.016,0.989,0.042,0.113,0.17,0.42,0.1,0.065,8.8,0.461,0.354,0.703,0.665,1.332,0.527,0.011,0.334,7.8,0.004,0.065,0.207
2022-Q3,3,2022,16.7,2.6,0.187,0.018,1342,8684,0.031,0.208,0.016,0.937,0.038,0.107,0.164,0.392,0.1,0.052,9.3,0.485,0.428,0.688,0.654,1.323,0.52,0.01,0.349,8.3,0.003,0.045,0.332
2022-Q2,2,2022,18.1,2.8,0.188,0.017,1276,8309,0.03,0.362,0.016,0.957,0.036,0.103,0.16,0.321,0.1,0.167,9.8,0.544,0.444,0.667,0.639,1.257,0.531,0.01,0.371,8.8,0.005,0.043,0.316
2022-Q1,1,2022,21.3,2.9,0.168,0.015,1093,7968,0.028,0.326,0.016,0.861,0.036,0.098,0.155,0.283,0.1,0.047,10.2,0.575,0.452,0.657,0.631,1.374,0.478,0.01,0.379,9.2,0.005,0.066,0.313
