period,cash,fixed_asset,asset,debt,equity,capital,central_bank_deposit,other_bank_deposit,other_bank_loan,stock_invest,customer_loan,bad_loan,provision,net_customer_loan,other_asset,other_bank_credit,owe_other_bank,owe_central_bank,valuable_paper,payable_interest,receivable_interest,deposit,other_debt,fund,un_distributed_income,minor_share_holder_profit,payable
2024,8215,7355,748095,693122,54972,18852,17644,80634,7607.0,85730,539315,12957.0,-8867,530448,10461,61323,9332.0,54,36754,8510.0,5240.0,566882,18275,6083,28426,0.0,693122
2023,7545,7269,674390,628656,45734,18852,12848,50114,219.0,74718,482731,10984.0,-7562,475169,46506,34386,3564.0,19,28992,11644.0,5687.0,510744,50535,4971,20387,0.0,628656
2022,7850,7548,591908,553281,38627,18852,12286,24968,325.0,68889,438628,4299.0,-5630,432998,36831,21730,6701.0,9901,25820,7517.0,5079.0,454740,34148,4223,13972,0.0,553281
2021,8222,8195,521117,486856,34261,18852,12170,7678,675.0,69756,387930,5832.0,-6917,381012,33219,9191,6038.0,523,21104,5884.0,9951.0,427387,22226,3715,9907,0.0,486856
2020,7679,8575,492516,463560,28956,18852,10053,17644,754.0,75281,340268,5780.0,-5414,334855,37356,3988,3892.0,144,11144,6924.0,17500.0,427972,16191,3337,7304,0.0,463560
2019,8269,8290,453581,426839,26742,18852,12110,12717,434.0,76601,296030,5733.0,-3971,292059,42653,400,3126.0,242,9490,7105.0,19539.0,400844,12654,2964,5412,0.0,426839
2018,6380,8250,406041,381408,24632,18852,9612,4448,375.0,75657,256623,5463.0,-3523,253100,47654,1043,6257.0,5293,8066,5947.0,23155.0,349389,11272,2721,3521,0.0,381408
2017,6213,8101,368469,345233,23236,18852,3002,6929,445.0,73416,222947,10405.0,-2749,220198,49502,7131,5518.0,231,5601,4464.0,24742.0,319860,6800,2550,2286,0.0,345233
2016,5873,7949,332023,309831,22192,18852,8954,2372,113.0,65643,198860,13745.0,-2432,196428,43923,3342,4768.0,3775,1,3554.0,25336.0,291653,4889,2430,1341,0.0,309831
2015,6586,7968,292033,269952,22080,18852,7497,2208,1.0,40368,185917,10778.0,-2257,183660,43745,657,2297.0,0,1,3065.0,25207.0,260995,4187,2420,1265,0.0,269952
