symbol,eps,asset
ACB,3758.0,864006
BCM,2034.0,58777
BID,3511.0,2760693
BVH,2810.0,251218
CTG,4720.0,2385388
FPT,5340.0,72000
GAS,4438.0,81855
GVR,1053.0,83545
HDB,3651.0,697281
HPG,1879.0,224490
LPB,3254.0,508330
MBB,3709.0,1128801
MSN,1389.0,147585
MWG,2546.0,70438
PLX,2274.0,81408
SAB,3376.0,33439
SHB,2267.0,747244
SSB,1692.0,325699
SSI,1445.0,73507
STB,5350.0,748095
TCB,3046.0,978799
TPB,2298.0,418028
VCB,4048.0,2085397
VHM,7590.0,560724
VIB,2418.0,493158
VIC,3069.0,839216
VJC,2632.0,99524
VNM,4494.0,55049
VPB,1988.0,923848
VRE,1802.0,55226
