company,Weekly_IRV,Monthly_IRV,RCI,SR,KR
ACB,0.16508490529199743,0.1893258617214418,0.9073939645338532,2.465243976068705,9.955555625541844
BCM,0.6161687614525712,0.7769496697439631,0.8320116481630749,1.688006302157113,3.222073202444789
BID,0.3698728511322562,0.4539244313046687,0.814367616400278,2.0792721526102302,5.898641401522561
BVH,0.3944552874294224,0.4606291097240785,0.8524590163934438,1.6839154822871718,3.519586297088992
CTG,0.30958365148068495,0.3773591122232656,0.840227507755951,1.9498358509239262,5.289319136762938
FPT,0.8967459443820722,1.0633283262062465,0.8670823991031344,1.069119404127172,0.963566848349886
GAS,0.4453069831134831,0.5379380283029376,0.8552856654122531,2.624870029544992,12.477747378678567
GVR,0.40336402359763296,0.49582501965888387,0.8355216042014801,1.4918112564697708,2.5584371631968734
HDB,0.16305182169685306,0.19224737496959643,0.8492168333647928,2.9579506938691384,16.72689230969854
HPG,0.18573548174683624,0.2153753084704805,0.9129270469853108,1.7022229023420583,4.378650063727155
LPB,0.22883328739552772,0.273219941499876,0.8386866523911473,1.703332046495193,3.5389907749077842
MBB,0.16961601885467023,0.20504750530034255,0.9047619047619023,2.0772671759854076,6.283341366070344
MSN,0.6050823533713218,0.6680433650267834,0.881168177240688,1.4725239324831556,2.9677996686905956
MWG,0.47730553938322157,0.5356867395726777,0.8784607101363019,1.2990506939406479,1.701168724393618
PLX,0.35340807863795454,0.41938160823038745,0.8746610688358228,1.3831270900702286,2.017620681561718
SAB,0.42119805814100403,0.47950975449108674,0.8463796477495092,1.6425573355270096,3.03275823207537
SHB,0.07494513665708745,0.08946738836318942,0.9090909090909086,1.8456427509613762,4.304428522424552
SSB,0.14880302640852783,0.19244101459815433,0.7949533285465145,2.2720753073892817,5.773596990546755
SSI,0.2215983452111834,0.26688641573236077,0.8705341597604292,2.155930288516156,6.557465148305143
STB,0.2775288672184974,0.32434390688070996,0.8818342151675455,1.743058714519459,3.949129793951302
TCB,0.18057006853822327,0.20965534908165265,0.8803601676027447,1.6199391631479252,3.4415970480801725
TPB,0.1420694967070781,0.17586201019590478,0.8373758373758349,1.5659985623738666,2.9542135255747803
VCB,0.3347626638465735,0.42646838215044647,0.9180628873077773,2.9179555501128434,16.764270098803483
VHM,0.3384620957444659,0.3918557432294014,0.8733115975780158,1.5280114634301194,3.0098519152003416
VIB,0.12727579621406074,0.15899945844524568,0.8544490276959316,1.7535555402919818,4.254067588319308
VIC,0.30622289330425423,0.4045533465046756,0.854700854700849,1.6362102440809843,3.4039092948782956
VJC,0.5941131159645019,0.7227159684440195,0.8622671878592779,2.3746573653159366,8.617620662524873
VNM,0.37895015473227506,0.4513454221912536,0.8991664198366636,1.855508032952606,4.363649434382225
VPB,0.13593184242283216,0.15585048383266428,0.9058965630833375,1.7585638020187295,5.636301377864946
VRE,0.1987366743994216,0.24840920386350915,0.9015506671474939,1.995893086778129,6.331139731584308
